Name,PID,ProcessName
Eventlog,684,services.exe
PlugPlay,684,services.exe
PolicyAgent,696,lsass.exe
ProtectedStorage,696,lsass.exe
SamSs,696,lsass.exe
Vmware Physical Disk Helper Service,852,vmacthlp.exe
DcomLaunch,880,svchost.exe
TermService,880,svchost.exe
RpcSs,972,svchost.exe
AudioSrv,1096,svchost.exe
BITS,1096,svchost.exe
CryptSvc,1096,svchost.exe
Dhcp,1096,svchost.exe
dmserver,1096,svchost.exe
ERSvc,1096,svchost.exe
EventSystem,1096,svchost.exe
FastUserSwitchingCompatibility,1096,svchost.exe
helpsvc,1096,svchost.exe
LanmanServer,1096,svchost.exe
lanmanworkstation,1096,svchost.exe
Netman,1096,svchost.exe
Nla,1096,svchost.exe
Schedule,1096,svchost.exe
seclogon,1096,svchost.exe
SENS,1096,svchost.exe
SharedAccess,1096,svchost.exe
ShellHWDetection,1096,svchost.exe
srservice,1096,svchost.exe
Themes,1096,svchost.exe
TrkWks,1096,svchost.exe
W32Time,1096,svchost.exe
winmgmt,1096,svchost.exe
wscsvc,1096,svchost.exe
wuauserv,1096,svchost.exe
WZCSVC,1096,svchost.exe
Dnscache,1184,svchost.exe
LmHosts,1184,svchost.exe
RemoteRegistry,1184,svchost.exe
SSDPSRV,1184,svchost.exe
Spooler,1652,spoolsv.exe
WebClient,2024,svchost.exe
BthServ,180,svchost.exe
VMTools,304,vmtoolsd.exe
ALG,268,alg.exe
