Offset,PID,Port,Proto,Protocol,Address,CreateTime,
0x81f937a8,4,0,47,GRE,0.0.0.0,2014-04-17 11:42:37 UTC+0000,
0x81f93ad8,4,1030,6,TCP,0.0.0.0,2014-04-17 11:42:37 UTC+0000,
0x81fd1130,696,500,17,UDP,0.0.0.0,2014-04-17 11:41:23 UTC+0000,
0x82304c90,4,137,17,UDP,192.168.78.128,2014-04-17 11:41:07 UTC+0000,
0x824d6808,268,1028,6,TCP,127.0.0.1,2014-04-17 11:41:34 UTC+0000,
0x81fca5f8,4,445,6,TCP,0.0.0.0,2014-04-17 11:40:53 UTC+0000,
0x8237e3b8,972,135,6,TCP,0.0.0.0,2014-04-17 11:41:03 UTC+0000,
0x8248bb70,4,138,17,UDP,192.168.78.128,2014-04-17 11:41:07 UTC+0000,
0x82376250,1096,123,17,UDP,127.0.0.1,2014-04-17 11:41:31 UTC+0000,
0x8243a9a8,696,0,255,Reserved,0.0.0.0,2014-04-17 11:41:23 UTC+0000,
0x82086830,540,1648,6,TCP,0.0.0.0,2014-04-17 12:04:42 UTC+0000,
0x824313f0,1096,123,17,UDP,192.168.78.128,2014-04-17 11:41:31 UTC+0000,
0x82186c30,540,1645,6,TCP,0.0.0.0,2014-04-17 12:03:04 UTC+0000,
0x8212b4d8,540,1649,6,TCP,0.0.0.0,2014-04-17 12:05:07 UTC+0000,
0x820358b8,1332,1900,17,UDP,127.0.0.1,2014-04-17 11:41:33 UTC+0000,
0x81fa2650,696,4500,17,UDP,0.0.0.0,2014-04-17 11:41:23 UTC+0000,
0x8209b808,1332,1900,17,UDP,192.168.78.128,2014-04-17 11:41:33 UTC+0000,
0x81fca840,4,445,17,UDP,0.0.0.0,2014-04-17 11:40:53 UTC+0000,
0x82304768,4,139,6,TCP,192.168.78.128,2014-04-17 11:41:07 UTC+0000,
